"He aided the Doukhobors in migrating to Canada .","aid","[u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'', u'']","[u'tending', u'attention', u'help', u'assistance', u'assist', u'economic_aid', u'care', u'financial_aid']","['N']","[u'help to ', u""lend one's aid"", u'humor ', u'help ', u'befriend ', u'aidance', u'subvention ', u'assist', u'help', u'succor', u'second ', u'promote ', u'nurture ']","['N']"
"""Simms works alongside co-host and designer Daniel Kucan to redecorate a room of a home in just two days and with only $ 2,500 .""","redecorate","[u'redo', u'rearrange', u'redesign', u'fix up', u'redo', u'change the decorations', u'redesign', u'remodel', u'remodel', u'remake', u'rearrange', u'decorate', u'redo', u'redo', u'makeover', u'remodel', u'redesign', u'fix up', u'change', u'change', u'redo', u'remodel', u'decorate', u'update', u'redo', u'redo', u'redesign', u'remodel', u'change the look of', u'change', u'redo', u'change', u'redo', u'change the look of', u'redo', u'redo', u'change the design of', u'redo', u'furnish', u'change', u'freshen up', u'renovate', u'remake', u'redesign', u'redo', u'redesign', u'redo', u'redo', u'redo', u'redo', u'', u'']","[]","['N']","[]","['N']"
"""Tibooburra has an arid , desert climate with temperatures soaring above 40 Celsius in summer , often reaching as high as 47 C .""","arid","[u'dry', u'dry', u'dry', u'dry', u'dry', u'dry', u'dry', u'dry', u'dry', u'dry', u'dry', u'dry', u'dry', u'dry', u'dry', u'dry', u'dry', u'dry', u'dry', u'dry', u'dry', u'dry', u'dry', u'dry', u'dry', u'dry', u'dry', u'desolate', u'dry', u'dry', u'dry', u'dry', u'dry', u'dry', u'dry', u'dry', u'dry', u'dry', u'dry', u'moistureless', u'barren', u'dry', u'dry', u'dry', u'dry', u'dry', u'dry', u'dry', u'dry', u'dry', u'dry', u'']","[u'desiccate', u'desiccated', u'waterless']","['N']","[u'unproductive', u'monotonous', u'unfertile', u'unfruitful', u'sterile', u'tedious', u'addled', u'acarpous', u'humdrum', u'infertile', u'flat', u'inoperative', u'bald', u'devoid of interest', u'anhydrous', u'dull', u'dry', u'stupid', u'mortal', u'barren', u'infecund', u'uninteresting', u'unprolific']","['Y']"
"Kavirondo is the former name of the region surrounding Kavirondo Gulf as well as of two native peoples living there under the regime of British East Africa .","*former","[u'old', u'previous', u'old', u'previous', u'earlier', u'old', u'old', u'last', u'other', u'first', u'old', u'old', u'earlier', u'old', u'old', u'before', u'previous', u'previous', u'last', u'earlier', u'prior', u'previous', u'last', u'previous', u'old', u'prior', u'old', u'old', u'old', u'old', u'older', u'old', u'previous', u'old', u'previous', u'old', u'last', u'old', u'old', u'previous ', u'prior', u'old', u'earlier', u'old', u'earlier', u'old', u'old', u'previous', u'old', u'old', u'', u'']","[u'late', u'old', u'erstwhile', u'quondam', u'onetime', u'other', u'sometime', u'one-time', u'early', u'previous']","['Y']","[u'foregoing', u'quondam', u'late', u'pristine', u'ci-devant']","['N']"
"""In 1999 , a World Tamil Confederation was established to protect and foster Tamil culture and further a sense of togetherness amongst Tamils in different countries .""","foster","[u'support', u'accommodate', u'promote', u'care', u'encourage', u'previous', u'encourage', u'adopt', u'support', u'encourage', u'grow', u'advance', u'support', u'uphold', u'nurture', u'cultivate', u'support', u'grow', u'protect', u'raise', u'promote', u'encourage', u'support', u'encourage', u'nurture', u'serve', u'support', u'help', u'promote', u'support', u'nurture', u'support', u'started', u'grow', u'support', u'raise', u'support', u'grow', u'nurture', u'help', u'promote', u'cultivate', u'grow', u'nurture', u'nurture', u'promote', u'promote', u'promote', u'grow', u'support', u'support', u'']","[u'Foster', u'surrogate', u'Stephen_Foster', u'Stephen_Collins_Foster', u'further', u'nurture']","['Y']","[u'entertain a belief', u'adopt an opinion', u'have an opinion', u'cherish an opinion', u'hazard an opinion', u'kill with kindness', u'raise to a fever heat', u'imbibe an opinion', u'foster an opinion', u'adopt a belief', u'have it', u'hold an opinion', u'foment', u'embrace a belief', u'get hold of an opinion', u'hold a belief', u'hazard', u'imbibe a belief', u'nurture an opinion', u'warm', u'embrace an opinion', u'possess', u'entertain an opinion', u'get hold of a belief', u'heat', u'nurture a belief', u'cherish', u'cherish a belief']","['N']"
"""He was a prolific discoverer of asteroids , discovering 122 in all , from 136 Austria in 1874 to 1073 Gellivara in 1923 .""","discover","[u'finding', u'finding', u'finding', u'finding', u'finding', u'finding', u'finding', u'found', u'finding', u'finding', u'finding', u'finding', u'finding', u'finding', u'observing', u'finding', u'finding', u'finding', u'finding', u'finding', u'finding', u'finding', u'finding', u'finding', u'finding', u'finding', u'finding', u'finding', u'finding', u'finding', u'finding', u'finding', u'finding', u'finding', u'finding', u'finding', u'finding', u'finding', u'finding', u'finding', u'finding', u'finding', u'finding', u'finding ', u'finding', u'finding', u'finding', u'finding', u'finding', u'finding', u'', u'']","[u'happen_upon', u'bring_out', u'describe', u'notice', u'distinguish', u'see', u'identify', u'attain', u'get_wind', u'find', u'detect', u'divulge', u'chance_on', u'strike', u'expose', u'disclose', u'give_away', u'pick_up', u'unwrap', u'come_upon', u'let_on', u'break', u'observe', u'hear', u'light_upon', u'key', u'come_across', u'find_out', u'get_word', u'reveal', u'name', u'get_a_line', u'fall_upon', u'chance_upon', u'let_out', u'learn', u'key_out']","['N']","[u'spy', u'determine', u'ken', u'recognize', u'espy', u'see', u'sight', u'get at the truth ', u'find', u'discern', u'analogy', u'have in sight', u'behold', u'disclose', u'evolve', u'dismask', u'perceive', u'descry', u'distinguish', u'make out', u'learn ']","['N']"
"""In August 1995 , the TTC suffered its worst subway accident in what it refers to as the Russell Hill accident , on the Yonge-University-Spadina Line south of St. Clair West station .""","suffer","[u'had', u'endured', u'felt', u'experienced', u'had', u'braved', u'plagued', u'had', u'experienced', u'had', u'had', u'had', u'experienced', u'experienced', u'had', u'had', u'experienced', u'endured', u'had', u'had', u'had', u'experienced', u'endured', u'endured', u'pained', u'had', u'had', u'had', u'underwent', u'had', u'braved', u'went through', u'endured', u'had', u'had', u'underwent', u'endured', u'saw', u'had', u'had', u'lost', u'experienced', u'had', u'endured', u'faced', u'had', u'got in', u'endured ', u'had', u'felt', u'', u'']","[u'stick_out', u'get', u'brook', u'support', u'put_up', u'tolerate', u'bear', u'hurt', u'lose', u'abide', u'meet', u'sustain', u'endure', u'have', u'ache', u'stomach', u'digest', u'stand']","['N']","[u'enjoy', u'recognize', u'suffer for', u'have', u'support', u'suffer punishment', u'sustain', u'labor under', u'aby', u'go through', u'complain of', u'smart', u'endure', u'pass through', u'bear', u'be affected with', u'ache', u'be exposed to', u'be subjected to', u'bleed', u'encounter', u'bear with', u'tolerate', u'experience', u'ail', u'fret ', u'stand', u'bide', u'undergo', u'thole']","['N']"
"In 1887 the school relocated to the East Lake community of Birmingham .","relocate","[u'moved', u'moved', u'moved', u'moved', u'moved', u'transferred', u'moved', u'moved', u'moved', u'moved', u'moved', u'moved', u'moved', u'moved', u'moved', u'moved', u'moved', u'moved', u'moved', u'moved', u'moved', u'moved', u'moved', u'moved', u'moved', u'moved', u'moved', u'moved', u'moved', u'moved', u'moved', u'moved', u'moved', u'moved', u'moved', u'moved', u'moved', u'moved', u'moved', u'moved', u'moved', u'moved', u'moved', u'moved', u'moved', u'moved ', u'moved', u'moved', u'moved', u'moved', u'', u'']","[]","['N']","[]","['N']"
"""HMS Guardian set out before the convict ships but struck ice after leaving the Cape of Good Hope , returned to southern Africa and was wrecked on the coast .""","return","[u'went back', u'went', u'went back', u'came back', u'went back', u'came back', u'came back', u'went', u'relocated', u'back', u'came back', u'came', u'came back', u'went', u'went back', u'went back', u'came back', u'went back', u'came back', u'went back', u'came back', u'came back', u'came back', u'went back', u'came-back', u'came back', u'went back', u'came back', u'came back', u'went back', u'went back', u'revisited', u'went back', u'retreated', u'went back', u'turned around', u'went', u'came', u'went back', u'went again', u'retreated', u'headed', u'gone', u'came back', u'came back', u'came back ', u'turned', u'came back', u'went', u'came back', u'', u'']","[u'refund', u'rejoinder', u'give_back', u'render', u'hark_back', u'bring_back', u'revert', u'come_back', u'pass', u'retrovert', u'proceeds', u'payoff', u'takings', u'devolve', u'tax_return', u'give', u'income_tax_return', u'coming_back', u'recurrence', u'take', u'restitution', u'issue', u'turn_back', u'reappearance', u'rejoin', u'take_back', u'replication', u'restoration', u'deliver', u'fall', u'comeback', u'generate', u'reelect', u'recall', u'counter', u'retort', u'yield', u'repay', u'regaining', u'regress', u'paying_back', u'return_key', u'riposte', u'homecoming', u'getting_even']","['N']","[u'restore', u'ebb', u'revenue', u'recede', u'retire', u'crop', u'regrade', u'bring in', u'appointment', u'archive', u'remigration', u'restitution', u'innings', u'recur', u'backwater', u'nomination', u'proceeds', u'reversion', u'income', u'bespeak', u'incomings', u'quid pro quo', u'afford', u'put in commission', u'hire', u'fruit', u'regurgitation', u'consideration', u'revolve', u'harvest', u'recurse', u'retreat', u'appoint', u'state paper', u'engage', u'name', u'designation', u'reappear', u'nominate', u'blue book', u'revert', u'ordain', u'yield', u'pay', u'scroll', u'accredit']","['N']"
"Super Mario 64 is also characterized by featuring more puzzles than earlier Mario games .","puzzle","[u'traps', u'riddles', u'games', u'challenges', u'games', u'riddles', u'problem solving events', u'mystery', u'games', u'trials', u'games', u'logic games', u'tasks', u'brain games', u'games', u'games', u'inside mini-games', u'mazez', u'challenges', u'challenges', u'games', u'things to figure out', u'games', u'mazes', u'things to solve', u'riddles', u'puzzle stages', u'teasers', u'challenges', u'games', u'challenges', u'challenges', u'challenges', u'brainteasers', u'challenges', u'problems to figure out', u'activities', u'things to do', u'mysteries', u'games', u'challenges', u'mind games', u'games', u'games', u'games', u'challenging situations', u'mini games', u' brainteasers', u'mazes', u'tricky parts', u'', u'']","[u'mystify', u'gravel', u'flummox', u'perplex', u'bewilder', u'get', u'beat', u'pose', u'amaze', u'vex', u'baffle', u'puzzler', u'teaser', u'stick', u'stupefy', u'mystifier', u'nonplus', u'dumbfound']","['N']","[u'riddle', u'perplex', u'conundrum', u'pose', u'put out', u'enigma', u'logogriph', u'embarrass', u'rebus', u'charade', u'nut to crack']","['N']"
"""For Adam Baldwin , who grew up watching westerns , the role of Jayne Cobb was particularly resonant .""","resonant","[u'rembering', u'thrilling', u'powerful', u'appealing', u'heard', u'important', u'memorable', u'meaningful', u'powerful', u'loud', u'impressive', u'important', u'moving', u'deep', u'meaningful', u'important', u'special', u'rich.', u'profound', u'fitting', u'memorable', u'known', u'meaningful', u'meanigful', u'powerful', u'strong', u'meaningful', u'appealing', u'deep', u'fitting', u'important', u'satisfying', u'important to him', u'important', u'important', u'meaningful ', u'memorable', u'resounding', u'meaningful ', u'thrilling', u'relatable', u'vibrant', u'profound', u'memorable', u'memorable', u'powerful', u'intense', u'interesting', u'rich', u'meaningful', u'', u'']","[u'resonating', u'resounding', u'redolent', u'reverberative', u'reminiscent', u'remindful', u'reverberating', u'evocative']","['Y']","[u'tinnient', u'reverberant', u'distinct', u'tintinnabulary', u'audible']","['N']"
"""Following the death of Schidlof from a heart attack in 1987 , the Amadeus Quartet disbanded .""","disband","[u'dissolved', u'scattered', u'broke up', u'broke up', u'quit', u'broke up', u'separated', u'broke up', u'broke up', u'broke up', u'dissolved', u'broke up', u'separated', u'broke up', u'died', u'separated', u'ended', u'broke up', u'separated', u'ended', u'broke up', u'separated', u'split up', u'dissolved', u'dissolved', u'broke up', u'broke up', u'broke up', u'stopped', u'separated', u'broke up', u'dissolved', u'broke up', u'split', u'broke up', u'separated', u'broke up', u'broke up', u'separated', u'separated', u'broke apart', u'dissolved', u'ended', u'broke up', u'broke up', u'broke up', u'split', u'separated', u'split', u'separated', u'broke up', u'']","[u'dissolve']","['N']","[u'disembody', u'broadcast', u'shed', u'bestrew', u'sow', u'disseminate', u'disintegrate', u'dismiss', u'scatter', u'disenthral', u'overspread', u'diffuse', u'spread', u'disperse', u'disenthrall', u'dispense', u'discharge', u'distribute', u'dismember', u'disbranch']","['N']"
"""His linguistic capacity , thoughts and speeches correspond to those of modern man , including a vast knowledge about history , politics , philosophy and literature .""","vast","[u'wide', u'huge', u'large', u'great', u'great', u'large', u'large', u'large', u'large', u'deep', u'great', u'wide', u'great', u'broad', u'great', u'huge', u'huge', u'wide', u'large', u'large', u'wide', u'large', u'huge', u'voluminous', u'broad', u'huge', u'great', u'wide', u'wide', u'large', u'large', u'great', u'huge', u'large', u'wide', u'large', u'lot of', u'large', u'great', u'great', u'large', u'wide', u'large', u'large', u'lot of', u'great', u'large', u'boundless', u'huge', u'large', u'large', u'']","[u'huge', u'Brobdingnagian', u'immense']","['Y']","[u'enormous', u'immense', u'vasty', u'world-wide', u'uncircumscribed', u'widespread', u'extreme']","['N']"
"""The latter means basic or radical change ; whereas reform may be no more than fine tuning , or at most redressing serious wrongs without altering the fundamentals of the system .""","alter","[u'changing', u'changing', u'changing', u'changing', u'changing', u'changing', u'changing', u'changing', u'changing', u'changing', u'changing', u'changing', u'changing', u'changing', u'changing', u'changing', u'changing', u'changing', u'changing', u'changing', u'changing', u'changing', u'changing', u'changing', u'changing', u'changing', u'changing', u'changing', u'changing', u'changing', u'changing', u'changing', u'changing', u'changing', u'changing', u'changing', u'changing', u'changing', u'changing', u'changing', u'changing', u'changing', u'changing', u'changing', u'changing', u'changing', u'changing', u'changing', u'changing', u'changing', u'changing', u'']","[u'neuter', u'modify', u'vary', u'interpolate', u'falsify', u'spay', u'change', u'castrate']","['N']","[u'emasculate', u'neuter', u'fix', u'equivocate ', u'vary', u'sterilize', u'geld', u'wax and wane', u'change', u'castrate']","['N']"
"""Companies may also take out strike insurance prior to an anticipated strike , to help offset the losses which the strike would cause .""","company","[u'businesses', u'businesses', u'businesses', u'businesses', u'businesses', u'businesses', u'businesses', u'businesses', u'businesses', u'workplaces', u'businesses', u""business' "", u'businesses', u'firms', u'groups', u'businesses', u'businesses', u'businesses', u'businesses', u'businesses', u'businesses', u'firms', u'organizations', u'businesses', u'offices', u'businesses ', u'businesses', u'businesses', u'businesses', u'businesses', u'firms', u'workplaces', u'bosses', u'businesses', u'businesses ', u'businesses', u'businesses', u'places', u'businesses', u'businesses', u'businesses', u'businesses', u'businesses', u'businnesses', u'businesses', u'organizations', u'businesses', u'businesses', u'businesses', u'businesses', u'', u'']","[u'accompany', u'companionship', u'keep_company', u'society', u'caller', u'companion', u'fellowship', u'party', u'troupe', u""ship's_company""]","['N']","[u'task force', u'corps', u'battery', u'coexistence', u'society', u'regiment', u'battalion', u'circle of acquaintance', u'companionship', u'platoon', u'army', u'section', u'squad', u'establishment', u'brigade', u'division', u'coterie', u'concomitance', u'battalia', u'detachment', u'troupe', u'association', u'sotnia', u'garrison', u'subdivision', u'column', u'host', u'flying column', u'troop', u""corps d'armee"", u'squadron', u'wing']","['N']"
"""In contrast , the 2007 MicropÌ_dia has roughly 65,000 articles , the vast majority of which contain fewer than 750 words , no references , and no named contributors .""","fewer","[u'less', u'less', u'less', u'less', u'less', u'less', u'less', u'less', u'less', u'less', u'less', u'less', u'less', u'less', u'under', u'less', u'less', u'less', u'less', u'less', u'less', u'less', u'less', u'less', u'less', u'less', u'less', u'lesser', u'less', u'less', u'less', u'less', u'less', u'lesser', u'less', u'less', u'less', u'less', u'less', u'less', u'less', u'less', u'less', u'less', u'less', u'less', u'less', u'less', u'less', u'less', u'', u'']","[u'few']","['N']","[]","['N']"
"""In 2001 , UNESCO inscribed the 2,750-year-old city on the World Heritage List as Samarkand - Crossroads of Cultures .""","inscribe","[u'put', u'engraved', u'registered', u'wrote', u'wrote', u'listed', u'etched', u'wrote', u'wrote', u'endorsed', u'inducted', u'dubbed', u'added', u'included', u'named', u'wrote', u'named', u'registered', u'etched', u'marked', u'wrote', u'marked', u'put', u'etched', u'listed', u'registered', u'recorded', u'added', u'added', u'recorded', u'recorded', u'wrote', u'labeled', u'dedicated', u'entered', u'wrote', u'carved', u'marked', u'designated', u'wrote', u'named', u'carved', u'registered', u'written', u'endorsed', u'wrote', u'wrote', u'wrote', u'added', u'recorded', u'wrote', u'']","[u'encipher', u'enroll', u'code', u'encrypt', u'scratch', u'write_in_code', u'engrave', u'recruit', u'cipher', u'autograph', u'enter', u'cypher', u'enrol', u'grave']","['N']","[u'blow the trumpet', u'crown with laurel', u'blazon', u'dash off', u'lionize', u'throw on paper', u'enshrine']","['N']"
"""During one event , German Charley attempting to prevent the theft of a racehorse from the Coombing Park stables was shot to death by Mickey Bourke .""","prevent","[u'stop', u'stop', u'stop', u'stop', u'stop', u'stop', u'stop', u'stop', u'stop', u'stop', u'stop', u'stop', u'stop', u'stop', u'stop', u'stop', u'stop', u'stop', u'stop', u'avoid', u'stop', u'stop', u'stop', u'stop', u'stop', u'stop', u'stop', u'stop', u'stop', u'stop', u'stop', u'stop', u'stop', u'stop', u'stop', u'stop', u'stop', u'stop', u'stop', u'stop', u'stop', u'stop', u'stop', u'stop', u'stop', u'stop', u'stop', u'stop', u'stop', u'stop', u'', u'']","[u'forbid', u'forestall', u'preclude', u'keep', u'foreclose']","['N']","[u'draw off', u'forefend', u'nip in the bud', u'turn aside']","['N']"
"""In 2006 , Nippon Ichi released a sequel called for the PlayStation 2 , as well as a 12 episode long anime titled Makai Senki Disgaea .""","title","[u'called', u'named', u'named', u'named', u'named', u'called', u'named', u'named', u'named', u'named', u'named', u'named', u'names', u'named', u'called', u'named', u'called', u'called', u'named', u'named', u'named', u'called', u'entitled', u'called', u'named', u'named', u'called', u'named', u'called', u'named', u'named', u'named', u'named', u'called', u'named', u'named', u'named', u'named', u'named', u'called', u'called', u'named', u'named', u'named', u'called', u'named', u'named', u'called', u'called', u'named', u'', u'']","[u'claim', u'deed_of_conveyance', u'championship', u'statute_title', u'style', u'title_of_respect', u'form_of_address', u'rubric', u'entitle', u'deed']","['N']","[u'claim', u'right', u'prescription', u'holding', u'estate', u'stake', u'prerogative', u'designation', u'birthright', u'pretension', u'honor', u'right ', u'interest', u'demand', u'privilege', u'docket', u'heading']","['N']"
